State,City,SUM of Units
,Bluffton,382
,Charleston,4192
,Columbia,1443
,Conway,330
,Daniel Island,589
,Fort Mill,276
,Fountain Inn,139
,Greenville,1899
,Greer,557
,Hilton Head Island,500
,Indian Land,991
,Irmo,298
,Johns Island,368
,Ladson,692
,Longs,588
,Moncks Corner,223
,Mount Pleasant,2503
,Myrtle Beach,1398
,North Charleston,1660
,Simpsonville,190
,Summerville,1197
SC Total,,21195
TN,Antioch,2146
,Berry Hill,302
,Brentwood,588
,Chattanooga,592
,Collierville,493
,Franklin,1102
,Hendersonville,815
,Knoxville,574
,Lebanon,273
,Madison,973
,Memphis,500
,Murfreesboro,184
,Nashville,11337
,Smyrna,718
,White House,216
TN Total,,20813
TX,Addison,714
,Allen,2473
,Anna,641
,Arlington,1403
,Aubrey,664
,Austin,31948
,Bastrop,342
,Baytown,1545
,Bee Cave,316
,Benbrook,427
,Boerne,592
,Brookshire,302
,Bryan,1027
,Buda,360
,Carrollton,661
,Cedar Park,1124
,Celina,914
,Clute,360
,College Station,384
,Conroe,1270
,Coppell,1001
,Copperas Cove,188
,Corinth,382
,Corpus Christi,1580
,Crandall,176
,Cypress,2277
,Dallas,12602
,Del Valle,396
,Denton,3005
,Dripping Springs,172
,Euless,1132
,Fairview,195
,Farmers Branch,256
,Fate,336
,Flower Mound,997
,Forney,120
,Fort Worth,8299
,Fresno,320
,Frisco,2273
,Fulshear,520
,Galveston,498
,Garland,1107
,Georgetown,1350
,Grand Prairie,919
,Grapevine,1462
,Haltom City,600
,Hickory Creek,360
,Houston,44536
,Hudson Oaks,332
,Humble,1668
,Huntsville,532
,Hutto,76
,Irving,2259
,Justin,129
,Katy,4312
,Keller,638
,Kennedale,270
,Killeen,466
,Kingwood,890
,Kyle,651
,La Porte,350
,Lake Jackson,285
,Lavon,732
,League City,1168
,Leander,2099
,Lewisville,1446
,Magnolia,158
,Manchaca,303
,Manor,570
,Mansfield,447
,McKinney,1435
,Melissa,556
,Mesquite,220
,Mont Belvieu,684
,New Braunfels,2151
,New Caney,336
,North Richland Hills,260
,Pasadena,500
,Pearland,719
,Pflugerville,1590
,Plano,1991
,Porter,545
,Prosper,621
,Red Oak,306
,Richardson,963
,Richmond,2138
,Rockwall,224
,Rosharon,114
,Round Rock,1432
,Sachse,297
,Saginaw,188
,San Antonio,20660
,San Marcos,2806
,Sanger,612
,Selma,303
,Sherman,340
,Spring,2455
,Stafford,1144
,Sugar Land,934
,Temple,206
,The Woodlands,1893
,Waco,1072
,Waxahachie,175
,Webster,380
TX Total,,204557
UT,American Fork,214
,Bluffdale,147
,Clearfield,855
,Cottonwood Heights,300
,Draper,912
,Farmington,466
,Herriman,1550
,Holladay,70
,Layton,400
,Lehi,1185
,Millcreek,217
,Murray,820
,North Salt Lake,303
,Ogden,454
,Pleasant Grove,149
,Riverton,792
,Roy,100
,Salt Lake City,6164
,Sandy,1008
,Saratoga Springs,516
,South Jordan,554
,South Salt Lake,416
,South Salt Lake City,578
,Vineyard,453
,West Haven,484
,West Jordan,477
,West Valley City,1115
UT Total,,20699
VA,Alexandria,3487
,Arlington,4587
,Ashburn,425
,Blacksburg,442
,Charlottesville,1583
,Chesapeake,215
,Fairfax,1542
,Falls Church,779
,Fredericksburg,1040
,Glen Allen,305
,Hampton,797
,Harrisonburg,352
,Henrico,447
,Herndon,591
,Leesburg,700
,Manassas,735
,Manassas Park,350
,McLean,592
,Newport News,296
,Petersburg,126
,Portsmouth,246
,Reston,1201
,Richmond,3046
,Springfield,631
,Sterling,1120
,Tysons,400
,Virginia Beach,724
,Williamsburg,897
,Woodbridge,1154
VA Total,,28810
WA,Auburn,430
,Bainbridge Island,75
,Battle Ground,180
,Bellevue,3003
,Bothell,203
,Camas,506
,Everett,902
,Federal Way,1058
,Issaquah,91
,Kenmore,223
,Kent,1263
,Kirkland,309
,Lacey,537
,Lake Stevens,195
,Lakewood,208
,Liberty Lake,297
,Lynnwood,1368
,Mercer Island,645
,Mukilteo,420
,Newcastle,104
,North Bend,128
,Olympia,127
,Puyallup,542
,Redmond,2992
,Renton,1673
,SeaTac,289
,Seattle,15756
,Shoreline,82
,Spokane,440
,Spokane Valley,1624
,Tacoma,2335
,Tukwila,661
,Tumwater,511
,University Place,274
,Vancouver,4849
,Woodinville,250
WA Total,,44550
WI,Franklin,265
,Glendale,311
,Madison,959
,Milwaukee,261
WI Total,,1796
WV,Morgantown,336
WV Total,,336
Grand Total,,1023962
